2012-01-06,ADY*Netflix,8.99
2012-01-10,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-01-10,FirstService Res Late Fee DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,25
2011-12-27,Iaria's Italian Restaurant 18474,13.87
2011-12-27,Uber BV help.uber.com,15.54
2011-12-27,AMAZON,38.81
2011-12-28,Recess 462076,19.47
2012-01-04,Sahm's Place 222491,32.35
2012-01-09,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,20
2012-01-11,Bluebeard 904636,13.69
2012-01-12,Uber BV help.uber.com,21.14
2012-01-16,TARGET PURCHASE 186329,29.86
2012-01-20,Pizzology 118807,31.32
2012-01-22,Delicia 34962,14.47
2012-01-25,PAYPAL DES:INST XFER ID:28054 INDN:Sara Caplan CO ID:PAYPAL WEB,76.85
2012-01-23,NORDSTROM ONLINE,27.25
2012-01-25,Taste Cafe & Marketplace 941074,17.93
2012-01-29,Scotty's Brewhouse 591576,12.52
2012-01-30,TARGET PURCHASE 569396,16.34
2012-01-30,Goose the Market 906272,25.57
2012-02-02,3 Sisters 51214,22.87
2012-02-03,Bazbeaux 851729,32.41
2012-02-06,ADY*Netflix,8.99
2012-02-02,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-02-03,TARGET PURCHASE 44203,26.12
2012-01-30,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,20
2012-01-31,Mama Carolla's Old Italian 402327,29.34
2012-02-01,Scotty's Brewhouse 113793,12.59
2012-02-05,The Tamale Place 903688,26.31
2012-02-05,Uber BV help.uber.com,9.59
2012-02-06,Bluebeard 288257,7.94
2012-02-11,Bazbeaux 296528,27.87
2012-02-12,Uber BV help.uber.com,5.09
2012-02-17,PAYPAL DES:INST XFER ID:40748 INDN:Sara Caplan CO ID:PAYPAL WEB,24.75
2012-02-15,TARGET PURCHASE 2072800,17.71
2012-02-15,MOBILE GAS,41.88
2012-02-15,Uber BV help.uber.com,8.83
2012-02-18,Taste Cafe & Marketplace 951510,20.63
2012-02-19,The Loft at Trader's Point Creamery 989275,23.99
2012-02-21,BKOFAMERICA ATM 12-02 #000009003 WITHDRWL SOUTH BEND INDIANA ID,50
2012-02-22,The Tamale Place 966883,15.39
2012-02-23,Shoefly Public House 446790,18.89
2012-02-26,The Tamale Place 782801,26.43
2012-03-01,Iaria's Italian Restaurant 48854,32.26
2012-03-06,ADY*Netflix,8.99
2012-03-07,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-03-04,Yats 16788,21.16
2012-03-07,BKOFAMERICA ATM 12-03 #000009003 WITHDRWL SOUTH BEND INDIANA ID,10
2012-03-09,EXXON GAS,41.03
2012-03-05,Shapiro's Delicatessen 799146,28.16
2012-03-08,Mama Carolla's Old Italian 363948,28.17
2012-03-12,Uber BV help.uber.com,5.42
2012-03-13,Uber BV help.uber.com,15.94
2012-03-16,Yats 843716,9.22
2012-03-17,Union 50 672776,14.93
2012-03-21,BKOFAMERICA ATM 12-03 #000009003 WITHDRWL SOUTH BEND INDIANA ID,30
2012-03-19,Iaria's Italian Restaurant 492539,7.98
2012-03-19,Uber BV help.uber.com,5.0
2012-03-20,Brugge Brasserie 66419,21.28
2012-03-22,Recess 637164,12.7
2012-03-24,Cafe Patachou 144305,12.55
2012-03-27,PAYPAL DES:INST XFER ID:62765 INDN:Sara Caplan CO ID:PAYPAL WEB,6.3
2012-03-26,Iaria's Italian Restaurant 483779,30.16
2012-03-26,WALMART,22.54
2012-03-28,Iaria's Italian Restaurant 466676,28.3
2012-03-30,3 Sisters 100110,32.11
2012-04-06,ADY*Netflix,8.99
