auth_id, Date, Vendor, Amount, Location 
55836,1/2/2013,Painting Course Fees,-8.91,CA
55836,1/3/2013,Painting Course Fees,-26.45,CA
55836,1/3/2013,Music Lessons - Piano,-34.04,CA
55836,1/3/2013,Michael's Crafts,-0.61,CA
55836,1/4/2013,Amazon Order - Paint Bushes,-38.61,CA
55836,1/4/2013,Art's Art Supplies,-14.61,CA
55836,1/5/2013,Amazon Order - Paint Bushes,-22.59,CA
55836,1/5/2013,Restaurant - Burgers,-23.22,CA
55836,1/5/2013,Lyft,-11.65,CA
55836,1/5/2013,Art Auction,-67.64,CA
55836,1/6/2013,Art Auction,-13.84,CA
55836,1/6/2013,Amazon Order - Paint Canvas,-61.04,CA
55836,1/6/2013,Taxi,-18.07,CA
55836,1/6/2013,Music Lessons - Piano,-18.39,CA
55836,1/7/2013,Lyft,-6.75,CA
55836,1/7/2013,Music Lessons - Piano,-10.57,CA
55836,1/8/2013,Painting Course Fees,-26.42,CA
55836,1/8/2013,Music Lessons - Piano,-4.44,CA
55836,1/8/2013,Lyft,-12.57,CA
55836,1/9/2013,Uber,-9.93,CA
55836,1/9/2013,Ashley's Craft Store,-33.94,CA
55836,1/10/2013,Restaurant - Burgers,-9.54,CA
55836,1/10/2013,Music Lessons - Piano,-4.04,CA
55836,1/10/2013,Amazon Order - Paint Bushes,-36.61,CA
55836,1/11/2013,Whole Foods,-0.89,CA
55836,1/11/2013,Uber,-0.07,CA
55836,1/11/2013,Ashley's Craft Store,-18.62,CA
55836,1/11/2013,Guitar Center,-27.32,CA
55836,1/11/2013,Housing Rent - Late Fee,-0.08,CA
55836,1/11/2013,Ashley's Craft Store,-2.08,CA
55836,1/11/2013,Starbucks Coffee,-11.42,CA
55836,1/11/2013,Whole Foods,-18.17,CA
55836,1/11/2013,Painting Course Fees,-74.44,CA
55836,1/11/2013,Amazon Order - Paint Canvas,-38.88,CA
55836,1/11/2013,Amazon Order - Paint Canvas,-19.54,CA
55836,1/12/2013,Public Transportation - Bus Pass,-97.84,CA
55836,1/13/2013,Restaurant - Steakhouse,-24.03,CA
55836,1/14/2013,Ashley's Craft Store,-8.28,CA
55836,1/14/2013,Sprouts Market,-0.75,CA
55836,1/14/2013,Art Auction,-27.18,CA
55836,1/14/2013,Taxi,-119.93,CA
55836,1/14/2013,Ashley's Craft Store,-25.25,CA
55836,1/15/2013,Lyft,-0.11,CA
55836,1/15/2013,Public Transportation - Bus Pass,-31.26,CA
55836,1/15/2013,Whole Foods,-66.45,CA
55836,1/15/2013,Guitar Center,-9.48,CA
55836,1/16/2013,Music Lessons - Piano,-32.84,CA
55836,1/16/2013,Starbucks Coffee,-9.09,CA
55836,1/16/2013,Von's Groceries,-4.28,CA
55836,1/16/2013,Amazon Order - Paint Bushes,-12.42,CA
55836,1/16/2013,Credit Card Overdraft Fee,-5.71,CA
55836,1/16/2013,Guitar Center,-19.56,CA
55836,1/16/2013,Whole Foods,-53.77,CA
55836,1/17/2013,Public Transportation - Bus Pass,-37.67,CA
55836,1/17/2013,Restaurant - Chinese,-28.97,CA
55836,1/17/2013,Art's Art Supplies,-32.48,CA
55836,1/17/2013,Guitar Center,-72.55,CA
55836,1/17/2013,Starbucks Coffee,-24.62,CA
55836,1/18/2013,Art's Art Supplies,-5.51,CA
55836,1/18/2013,Michael's Crafts,-4.39,CA
55836,1/18/2013,Public Transportation - Bus Pass,-115.32,CA
55836,1/19/2013,Amazon Order - Paint Canvas,-4.07,CA
55836,1/20/2013,Housing Rent - Late Fee,-39.07,CA
55836,1/20/2013,Whole Foods,-118.52,CA
55836,1/20/2013,Whole Foods,-39.11,CA
55836,1/20/2013,Lyft,-13.38,CA
55836,1/20/2013,Sprouts Market,-2.29,CA
55836,1/21/2013,Whole Foods,-68.11,CA
55836,1/22/2013,Public Transportation - Train Pass,-17.89,CA
55836,1/22/2013,Painting Course Fees,-7.67,CA
55836,1/22/2013,Taxi,-71.62,CA
55836,1/22/2013,Ashley's Craft Store,-18.42,CA
55836,1/22/2013,Guitar Center,-57.39,CA
55836,1/22/2013,Uber,-34.57,CA
55836,1/22/2013,Amazon Order - Paint Canvas,-1,CA
55836,1/22/2013,Whole Foods,-10.96,CA
55836,1/22/2013,Restaurant - Steakhouse,-69.47,CA
55836,1/23/2013,Ashley's Craft Store,-0.81,CA
55836,1/24/2013,Art's Art Supplies,-28.35,CA
55836,1/24/2013,Art Auction,-4.56,CA
55836,1/25/2013,Music Lessons - Piano,-1.93,CA
55836,1/25/2013,Art Auction,-8.34,CA
55836,1/25/2013,Art Auction,-90.52,CA
55836,1/25/2013,Lyft,-86.89,CA
55836,1/25/2013,Ashley's Craft Store,-90.63,CA
55836,1/26/2013,Amazon Order - Paint Canvas,-5.79,CA
55836,1/26/2013,Ashley's Craft Store,-14.41,CA
55836,1/27/2013,Art Auction,-16.95,CA
55836,1/27/2013,Whole Foods,-21,CA
55836,1/28/2013,Ashley's Craft Store,-89,CA
55836,1/29/2013,Public Transportation - Bus Pass,-26.8,CA
55836,1/29/2013,Amazon Order - Paint Canvas,-23.5,CA
55836,1/29/2013,Art Auction,-19.15,CA
55836,1/29/2013,Michael's Crafts,-16.17,CA
55836,1/29/2013,Von's Groceries,-40.15,CA
55836,1/29/2013,Art Auction,-27.29,CA
55836,1/30/2013,Lyft,-76.04,CA
55836,3/2/2013,Housing Rent,-1176,CA
55836,3/2/2013,Time Warner Cable,-25,CA
55836,3/2/2013,Gas & Electric,-32,CA
55836,3/2/2013,Lyft,-34.37,CA
55836,3/3/2013,Art's Art Supplies,-2.67,CA
55836,3/3/2013,Guitar Center,-15.14,CA
55836,3/3/2013,Public Transportation - Train Pass,-32.48,CA
55836,3/4/2013,Ashley's Craft Store,-57.65,CA
55836,3/4/2013,Music Lessons - Piano,-39.48,CA
55836,3/5/2013,Restaurant - Pizza,-32.69,CA
55836,3/5/2013,Restaurant - Pizza,-5.7,CA
55836,3/6/2013,Guitar Center,-3.88,CA
55836,3/7/2013,Public Transportation - Train Pass,-19.97,CA
55836,3/7/2013,Michael's Crafts,-14.53,CA
55836,3/7/2013,Water & Sewer - Late Payment Penalty,-34.46,CA
55836,3/7/2013,Amazon Order - Paint Canvas,-20.87,CA
55836,3/7/2013,Restaurant - Steakhouse,-33.01,CA
55836,3/8/2013,Credit Card Overdraft Fee,-0.7,CA
55836,3/8/2013,Restaurant - Burgers,-29.56,CA
55836,3/8/2013,Art Auction,-39.2,CA
55836,3/8/2013,Art Auction,-31.89,CA
55836,3/8/2013,Public Transportation - Train Pass,-0.52,CA
55836,3/9/2013,Uber,-113.7,CA
55836,3/9/2013,Restaurant - Burgers,-39.9,CA
55836,3/9/2013,Von's Groceries,-33.7,CA
55836,3/10/2013,Music Lessons - Piano,-29.18,CA
55836,3/11/2013,Sprouts Market,-1.22,CA
55836,3/11/2013,Painting Course Fees,-19.17,CA
55836,3/11/2013,Ashley's Craft Store,-3.35,CA
55836,3/11/2013,Guitar Center,-36.15,CA
55836,3/11/2013,Painting Course Fees,-9.41,CA
55836,3/11/2013,Music Lessons - Piano,-36.81,CA
55836,3/11/2013,Amazon Order - Paint Canvas,-69.16,CA
55836,3/12/2013,Restaurant - Pizza,-20.87,CA
55836,3/13/2013,Art's Art Supplies,-28.77,CA
55836,3/13/2013,Restaurant - Chinese,-103.95,CA
55836,3/13/2013,Restaurant - Steakhouse,-0.96,CA
55836,3/13/2013,Amazon Order - Paint Canvas,-11.06,CA
55836,3/13/2013,Ralph's Grocery Store,-23.6,CA
55836,3/14/2013,Amazon Order - Paint Bushes,-26.17,CA
55836,3/14/2013,Ashley's Craft Store,-25.16,CA
55836,3/15/2013,Michael's Crafts,-67.15,CA
55836,3/15/2013,Music Lessons - Piano,-16.57,CA
55836,3/15/2013,Art's Art Supplies,-112.19,CA
55836,3/15/2013,Painting Course Fees,-23.03,CA
55836,3/16/2013,Art's Art Supplies,-54,CA
55836,3/16/2013,Sprouts Market,-83.9,CA
55836,3/16/2013,Michael's Crafts,-21.45,CA
55836,3/16/2013,Painting Course Fees,-21.34,CA
55836,3/17/2013,Michael's Crafts,-9.99,CA
55836,3/18/2013,Lyft,-36.05,CA
55836,3/18/2013,Painting Course Fees,-5.88,CA
55836,3/18/2013,Public Transportation - Train Pass,-21.71,CA
55836,3/18/2013,Public Transportation - Train Pass,-50.87,CA
55836,3/19/2013,Music Lessons - Piano,-20.02,CA
55836,3/19/2013,Music Lessons - Piano,-101.23,CA
55836,3/19/2013,Art's Art Supplies,-41.94,CA
55836,3/19/2013,Taxi,-4.24,CA
55836,3/20/2013,Taxi,-69.21,CA
55836,3/20/2013,Art's Art Supplies,-12.71,CA
55836,3/21/2013,Art Auction,-105.74,CA
55836,3/21/2013,Amazon Order - Paint Bushes,-33.66,CA
55836,3/22/2013,Amazon Order - Paint Canvas,-2.59,CA
55836,3/22/2013,Amazon Order - Paint Canvas,-2.12,CA
55836,3/23/2013,Time Warne Cable - Late Payment Fee,-20.43,CA
55836,3/23/2013,Music Lessons - Piano,-6.96,CA
55836,3/23/2013,Uber,-2.68,CA
55836,3/23/2013,Public Transportation - Bus Pass,-5.49,CA
55836,3/23/2013,Taxi,-99.43,CA
55836,3/23/2013,Art's Art Supplies,-39.15,CA
55836,3/23/2013,Von's Groceries,-17.09,CA
55836,3/23/2013,Amazon Order - Paint Canvas,-30.4,CA
55836,3/23/2013,Credit Card Overdraft Fee,-23.98,CA
55836,3/23/2013,Restaurant - Steakhouse,-4.56,CA
55836,3/24/2013,Public Transportation - Train Pass,-13.81,CA
55836,3/25/2013,Lyft,-18.09,CA
55836,3/25/2013,Art Auction,-30.86,CA
55836,3/26/2013,Michael's Crafts,-34.4,CA
55836,3/27/2013,Art's Art Supplies,-8.3,CA
55836,3/28/2013,Restaurant - Chinese,-6.13,CA
55836,3/28/2013,Restaurant - Steakhouse,-32.46,CA
55836,3/29/2013,Water & Sewer - Late Payment Penalty,-29.51,CA
55836,3/29/2013,Art's Art Supplies,-19.44,CA
55836,3/29/2013,Painting Course Fees,-1.06,CA
55836,3/30/2013,Art Auction,-19.58,CA
55836,3/30/2013,Whole Foods,-29.59,CA
55836,3/30/2013,Ashley's Craft Store,-7.35,CA
55836,3/30/2013,Michael's Crafts,-15.62,CA
55836,4/2/2013,Paycheck,4513,CA
55836,4/2/2013,Housing Rent,-1180,CA
55836,4/2/2013,Time Warner Cable,-25,CA
55836,4/2/2013,Gas & Electric,-32,CA
55836,4/2/2013,Ashley's Craft Store,-44.52,CA
55836,4/2/2013,Housing Rent - Late Fee,-38.81,CA
55836,4/3/2013,Restaurant - Burgers,-35.52,CA
55836,4/3/2013,Starbucks Coffee,-33.74,CA
55836,4/3/2013,Lyft,-101.51,CA
55836,4/3/2013,Public Transportation - Bus Pass,-10.35,CA
55836,4/4/2013,Ralph's Grocery Store,-12.5,CA
55836,4/4/2013,Ashley's Craft Store,-14.63,CA
55836,4/4/2013,Painting Course Fees,-79.46,CA
55836,4/5/2013,Music Lessons - Piano,-37.9,CA
55836,4/5/2013,Amazon Order - Paint Bushes,-23.05,CA
55836,4/6/2013,Art's Art Supplies,-5.04,CA
55836,4/6/2013,Taxi,-10.53,CA
55836,4/7/2013,Food Delivery - GrubHub,-2.35,CA
55836,4/7/2013,Ashley's Craft Store,-2.15,CA
55836,4/8/2013,Art's Art Supplies,-4.51,CA
55836,4/8/2013,Music Lessons - Piano,-15.09,CA
55836,4/8/2013,Ashley's Craft Store,-38.24,CA
55836,4/9/2013,Amazon Order - Paint Canvas,-80.73,CA
55836,4/10/2013,Taxi,-16.61,CA
55836,4/10/2013,Lyft,-32.73,CA
55836,4/11/2013,Restaurant - Pizza,-91.47,CA
55836,4/12/2013,Art's Art Supplies,-36.24,CA
55836,4/13/2013,Public Transportation - Bus Pass,-7.77,CA
55836,4/13/2013,Guitar Center,-27.14,CA
55836,4/13/2013,Ralph's Grocery Store,-32.03,CA
55836,4/14/2013,Restaurant - Burgers,-7.52,CA
55836,4/14/2013,Amazon Order - Paint Bushes,-11.31,CA
55836,4/14/2013,Uber,-31.1,CA
55836,4/14/2013,Michael's Crafts,-11.69,CA
55836,4/14/2013,Michael's Crafts,-72.94,CA
55836,4/14/2013,Uber,-43.26,CA
55836,4/15/2013,Amazon Order - Paint Canvas,-20.54,CA
55836,4/15/2013,Sprouts Market,-21.07,CA
55836,4/15/2013,Bank Fee - Negative Balance,-31.3,CA
55836,4/15/2013,Restaurant - Pizza,-15.63,CA
55836,4/15/2013,Lyft,-5.32,CA
55836,4/15/2013,Art's Art Supplies,-4.36,CA
55836,4/16/2013,Amazon Order - Paint Bushes,-36.26,CA
55836,4/17/2013,Uber,-25.1,CA
55836,4/17/2013,Art Auction,-34.36,CA
55836,4/18/2013,Music Lessons - Piano,-24.43,CA
55836,4/18/2013,Restaurant - Burgers,-19.31,CA
55836,4/19/2013,Public Transportation - Train Pass,-40.74,CA
55836,4/20/2013,Public Transportation - Train Pass,-12.08,CA
55836,4/21/2013,Art Auction,-35.2,CA
55836,4/22/2013,Restaurant - Pizza,-30.74,CA
55836,4/22/2013,Amazon Order - Paint Canvas,-11.47,CA
55836,4/22/2013,Food Delivery - GrubHub,-50.45,CA
55836,4/22/2013,Michael's Crafts,-26.21,CA
55836,4/23/2013,Ralph's Grocery Store,-72.17,CA
55836,4/24/2013,Uber,-39.36,CA
55836,4/24/2013,Michael's Crafts,-8.19,CA
55836,4/24/2013,Public Transportation - Bus Pass,-72.94,CA
55836,4/24/2013,Food Delivery - GrubHub,-33.23,CA
55836,4/24/2013,Michael's Crafts,-39.17,CA
55836,4/24/2013,Restaurant - Steakhouse,-56.23,CA
55836,4/25/2013,Public Transportation - Train Pass,-10.53,CA
55836,4/25/2013,Taxi,-1.01,CA
55836,4/25/2013,Painting Course Fees,-39.04,CA
55836,4/25/2013,Food Delivery - GrubHub,-33.26,CA
55836,4/25/2013,Amazon Order - Paint Canvas,-24.64,CA
55836,4/25/2013,Amazon Order - Paint Canvas,-7.92,CA
55836,4/26/2013,Art Auction,-23.65,CA
55836,4/26/2013,Starbucks Coffee,-36.63,CA
55836,4/26/2013,Taxi,-27.29,CA
55836,4/27/2013,Painting Course Fees,-20.19,CA
55836,4/27/2013,Lyft,-10.86,CA
55836,4/28/2013,Michael's Crafts,-37.85,CA
55836,4/28/2013,Ashley's Craft Store,-7.92,CA
55836,4/28/2013,Art Auction,-23.88,CA
55836,4/28/2013,Lyft,-38.2,CA
55836,4/28/2013,Ashley's Craft Store,-93.36,CA
55836,4/28/2013,Music Lessons - Piano,-26.57,CA
55836,4/28/2013,Music Lessons - Piano,-37.99,CA
55836,4/29/2013,Restaurant - Steakhouse,-34.2,CA
55836,4/30/2013,Amazon Order - Paint Bushes,-4.7,CA
55836,5/2/2013,Paycheck,4513,CA
55836,5/2/2013,Housing Rent,-725,CA
55836,5/2/2013,Time Warner Cable,-25,CA
55836,5/2/2013,Gas & Electric,-32,CA
55836,5/2/2013,Painting Course Fees,-5.12,CA
55836,5/3/2013,Amazon Order - Paint Bushes,-29.27,CA
55836,5/4/2013,Ralph's Grocery Store,-20.2,CA
55836,5/4/2013,Painting Course Fees,-3.17,CA
55836,5/4/2013,Public Transportation - Train Pass,-19.65,CA
55836,5/5/2013,Art's Art Supplies,-67.69,CA
55836,5/6/2013,Public Transportation - Train Pass,-24.39,CA
55836,5/6/2013,Uber,-71.35,CA
55836,5/6/2013,Michael's Crafts,-21.97,CA
55836,5/6/2013,Guitar Center,-38.9,CA
55836,5/6/2013,Michael's Crafts,-8.59,CA
55836,5/6/2013,Michael's Crafts,-79.19,CA
55836,5/7/2013,Sprouts Market,-37.59,CA
55836,5/7/2013,Taxi,-24.38,CA
55836,5/8/2013,Amazon Order - Paint Bushes,-20.47,CA
55836,5/8/2013,Amazon Order - Paint Canvas,-28.76,CA
55836,5/9/2013,Amazon Order - Paint Canvas,-7.22,CA
55836,5/9/2013,Michael's Crafts,-35.52,CA
55836,5/9/2013,Michael's Crafts,-22.84,CA
55836,5/10/2013,Amazon Order - Paint Canvas,-11.12,CA
55836,5/11/2013,Ashley's Craft Store,-33.62,CA
55836,5/12/2013,Lyft,-2.24,CA
55836,5/12/2013,Public Transportation - Bus Pass,-14.51,CA
55836,5/12/2013,Art Auction,-116.7,CA
55836,5/12/2013,Amazon Order - Paint Canvas,-16.2,CA
55836,5/12/2013,Ralph's Grocery Store,-9.72,CA
55836,5/13/2013,Painting Course Fees,-17.04,CA
55836,5/13/2013,Restaurant - Pizza,-117.28,CA
55836,5/13/2013,Michael's Crafts,-32.87,CA
55836,5/14/2013,Painting Course Fees,-27.61,CA
55836,5/14/2013,Music Lessons - Piano,-19.34,CA
55836,5/15/2013,Music Lessons - Piano,-24.5,CA
55836,5/15/2013,Guitar Center,-0.96,CA
55836,5/15/2013,Public Transportation - Train Pass,-35.58,CA
55836,5/15/2013,Amazon Order - Paint Canvas,-8.56,CA
55836,5/15/2013,Ashley's Craft Store,-17.44,CA
55836,5/15/2013,Credit Card Overdraft Fee,-33.11,CA
55836,5/15/2013,Lyft,-50.01,CA
55836,5/15/2013,Amazon Order - Paint Canvas,-2.1,CA
55836,5/15/2013,Michael's Crafts,-37.33,CA
55836,5/16/2013,Uber,-93.82,CA
55836,5/16/2013,Restaurant - Pizza,-1.76,CA
55836,5/17/2013,Ashley's Craft Store,-109.6,CA
55836,5/18/2013,Ashley's Craft Store,-28.19,CA
55836,5/19/2013,Amazon Order - Paint Canvas,-31.51,CA
55836,5/20/2013,Amazon Order - Paint Canvas,-50.55,CA
55836,5/20/2013,Painting Course Fees,-22.68,CA
55836,5/21/2013,Guitar Center,-13.08,CA
55836,5/21/2013,Whole Foods,-98.85,CA
55836,5/21/2013,Amazon Order - Paint Bushes,-92.36,CA
55836,5/21/2013,Restaurant - Steakhouse,-14.61,CA
55836,5/22/2013,Lyft,-1.03,CA
55836,5/23/2013,Sprouts Market,-10.09,CA
55836,5/23/2013,Ashley's Craft Store,-3.47,CA
55836,5/23/2013,Painting Course Fees,-39.53,CA
55836,5/23/2013,Taxi,-117.91,CA
55836,5/23/2013,Restaurant - Chinese,-28.3,CA
55836,5/23/2013,Public Transportation - Train Pass,-15.34,CA
55836,5/23/2013,Michael's Crafts,-15.34,CA
55836,5/23/2013,Art's Art Supplies,-17.74,CA
55836,5/24/2013,Lyft,-5.89,CA
55836,5/24/2013,Time Warne Cable - Late Payment Fee,-30.07,CA
55836,5/25/2013,Music Lessons - Piano,-31.53,CA
55836,5/25/2013,Public Transportation - Bus Pass,-38.09,CA
55836,5/25/2013,Public Transportation - Train Pass,-97.66,CA
55836,5/26/2013,Von's Groceries,-11.72,CA
55836,5/26/2013,Art Auction,-95.42,CA
55836,5/26/2013,Music Lessons - Piano,-15.19,CA
55836,5/26/2013,Art Auction,-17.14,CA
55836,5/26/2013,Music Lessons - Piano,-15.09,CA
55836,5/26/2013,Restaurant - Steakhouse,-25.82,CA
55836,5/26/2013,Art Auction,-26.12,CA
55836,5/26/2013,Ashley's Craft Store,-80.07,CA
55836,5/26/2013,Restaurant - Chinese,-14.37,CA
55836,5/26/2013,Restaurant - Steakhouse,-39.91,CA
55836,5/27/2013,Public Transportation - Train Pass,-3.67,CA
55836,5/27/2013,Sprouts Market,-100.9,CA
55836,5/27/2013,Credit Card Overdraft Fee,-76.77,CA
55836,5/28/2013,Painting Course Fees,-36.69,CA
55836,5/29/2013,Bank Fee - Negative Balance,-32.16,CA
55836,5/30/2013,Michael's Crafts,-46.9,CA
55836,6/2/2013,Paycheck,4513,CA
55836,6/2/2013,Housing Rent,-1316,CA
55836,6/2/2013,Time Warner Cable,-25,CA
55836,6/2/2013,Gas & Electric,-32,CA
55836,6/2/2013,Michael's Crafts,-65.98,CA
55836,6/2/2013,Starbucks Coffee,-35.71,CA
55836,6/2/2013,Starbucks Coffee,-15.34,CA
55836,6/3/2013,Time Warne Cable - Late Payment Fee,-5.9,CA
55836,6/4/2013,Restaurant - Burgers,-27.18,CA
55836,6/4/2013,Ashley's Craft Store,-15.04,CA
55836,6/4/2013,Ashley's Craft Store,-11.58,CA
55836,6/4/2013,Art Auction,-33.75,CA
55836,6/4/2013,Lyft,-16.97,CA
55836,6/4/2013,Time Warne Cable - Late Payment Fee,-24.13,CA
55836,6/4/2013,Restaurant - Chinese,-35.93,CA
55836,6/4/2013,Amazon Order - Paint Canvas,-9.67,CA
55836,6/5/2013,Sprouts Market,-17.78,CA
55836,6/5/2013,Art Auction,-115.48,CA
55836,6/5/2013,Amazon Order - Paint Canvas,-13.13,CA
55836,6/5/2013,Whole Foods,-46.62,CA
55836,6/6/2013,Amazon Order - Paint Canvas,-14.17,CA
55836,6/6/2013,Music Lessons - Piano,-25.82,CA
55836,6/6/2013,Whole Foods,-33.94,CA
55836,6/6/2013,Art's Art Supplies,-35.69,CA
55836,6/6/2013,Amazon Order - Paint Canvas,-4.49,CA
55836,6/6/2013,Music Lessons - Piano,-9.89,CA
55836,6/7/2013,Ashley's Craft Store,-58.79,CA
55836,6/7/2013,Ashley's Craft Store,-30.74,CA
55836,6/7/2013,Sprouts Market,-27.2,CA
55836,6/7/2013,Starbucks Coffee,-21.05,CA
55836,6/8/2013,Public Transportation - Train Pass,-3.12,CA
55836,6/9/2013,Ashley's Craft Store,-6.97,CA
55836,6/9/2013,Michael's Crafts,-29.31,CA
55836,6/10/2013,Food Delivery - GrubHub,-18.06,CA
55836,6/10/2013,Uber,-35.66,CA
55836,6/10/2013,Painting Course Fees,-4.12,CA
55836,6/10/2013,Public Transportation - Bus Pass,-39.28,CA
