auth_id, Date, Vendor, Amount, Location 
53897,1/2/2013,Amazon Order - Paint Bushes,-6.37,CA
53897,1/3/2013,Starbucks Coffee,-34.68,CA
53897,1/3/2013,Restaurant - Steakhouse,-95.39,CA
53897,1/3/2013,Michael's Crafts,-14.98,CA
53897,1/4/2013,Michael's Crafts,-17.62,CA
53897,1/4/2013,Restaurant - Chinese,-18.89,CA
53897,1/4/2013,Starbucks Coffee,-27.15,CA
53897,1/5/2013,Art's Art Supplies,-13.59,CA
53897,1/5/2013,Restaurant - Burgers,-33.97,CA
53897,1/5/2013,Art Auction,-45.26,CA
53897,1/5/2013,Public Transportation - Bus Pass,-15.14,CA
53897,1/5/2013,Starbucks Coffee,-24.06,CA
53897,1/5/2013,Starbucks Coffee,-16.35,CA
53897,1/5/2013,Amazon Order - Paint Canvas,-32.63,CA
53897,1/5/2013,Ashley's Craft Store,-2.35,CA
53897,1/5/2013,Taxi,-28.55,CA
53897,1/5/2013,Art Auction,-11.15,CA
53897,1/5/2013,Art Auction,-30.38,CA
53897,1/5/2013,Art Auction,-18.96,CA
53897,1/5/2013,Lyft,-4.84,CA
53897,1/5/2013,Guitar Center,-3.47,CA
53897,1/6/2013,Guitar Center,-11.73,CA
53897,1/6/2013,Guitar Center,-31.62,CA
53897,1/6/2013,Ashley's Craft Store,-23.91,CA
53897,1/6/2013,Lyft,-16.25,CA
53897,1/7/2013,Public Transportation - Train Pass,-2.59,CA
53897,1/7/2013,Amazon Order - Paint Canvas,-0.1,CA
53897,1/7/2013,Uber,-28.08,CA
53897,1/8/2013,Art Auction,-49.38,CA
53897,1/9/2013,Ralph's Grocery Store,-35.77,CA
53897,1/10/2013,Music Lessons - Piano,-21.31,CA
53897,1/10/2013,Michael's Crafts,-0.38,CA
53897,1/11/2013,Restaurant - Chinese,-13.96,CA
53897,1/11/2013,Art Auction,-97.43,CA
53897,1/11/2013,Michael's Crafts,-32.99,CA
53897,1/11/2013,Art's Art Supplies,-37.72,CA
53897,1/12/2013,Uber,-11.5,CA
53897,1/12/2013,Sprouts Market,-10.59,CA
53897,1/13/2013,Michael's Crafts,-101.45,CA
53897,1/13/2013,Michael's Crafts,-11.1,CA
53897,1/13/2013,Starbucks Coffee,-6.29,CA
53897,1/13/2013,Uber,-5.65,CA
53897,1/13/2013,Public Transportation - Bus Pass,-22.49,CA
53897,1/14/2013,Food Delivery - GrubHub,-37.25,CA
53897,1/14/2013,Ashley's Craft Store,-19.35,CA
53897,1/15/2013,Michael's Crafts,-23.25,CA
53897,1/15/2013,Lyft,-39.09,CA
53897,1/15/2013,Music Lessons - Piano,-33.52,CA
53897,1/16/2013,Painting Course Fees,-25.03,CA
53897,1/17/2013,Art Auction,-24.75,CA
53897,1/17/2013,Art Auction,-39.96,CA
53897,1/17/2013,Ashley's Craft Store,-24.56,CA
53897,1/17/2013,Guitar Center,-57.41,CA
53897,1/17/2013,Public Transportation - Bus Pass,-13.8,CA
53897,1/17/2013,Uber,-39.12,CA
53897,1/17/2013,Michael's Crafts,-109.9,CA
53897,1/17/2013,Music Lessons - Piano,-30.45,CA
53897,1/18/2013,Ashley's Craft Store,-35.63,CA
53897,1/18/2013,Guitar Center,-36.37,CA
53897,1/19/2013,Amazon Order - Paint Canvas,-23.31,CA
53897,1/19/2013,Von's Groceries,-22.24,CA
53897,1/19/2013,Taxi,-79.17,CA
53897,1/19/2013,Lyft,-27.47,CA
53897,1/19/2013,Painting Course Fees,-35.91,CA
53897,1/20/2013,Taxi,-8.51,CA
53897,1/21/2013,Guitar Center,-4.88,CA
53897,1/21/2013,Amazon Order - Paint Canvas,-3.19,CA
53897,1/21/2013,Lyft,-10.12,CA
53897,1/21/2013,Von's Groceries,-21.8,CA
53897,1/21/2013,Amazon Order - Paint Bushes,-11.79,CA
53897,1/21/2013,Uber,-12.38,CA
53897,1/22/2013,Art's Art Supplies,-11.88,CA
53897,1/22/2013,Amazon Order - Paint Bushes,-12.51,CA
53897,1/22/2013,Amazon Order - Paint Canvas,-28.74,CA
53897,1/22/2013,Music Lessons - Piano,-0.77,CA
53897,1/22/2013,Art's Art Supplies,-19.75,CA
53897,1/22/2013,Ashley's Craft Store,-5.25,CA
